Date,Close,High,Low,Open,Volume,Return,Log_Return,MA_4,Volatility,Return_Zscore,Return_MinMax
2024-04-01,2799.878173828125,2895.8054774282323,2767.9024059614226,2881.8160789865497,728122,-0.025052218866121634,-0.02537136722996747,2830.8546752929688,0.019957752445575714,-0.4611790309756956,0.6159476757977053
2024-04-08,2753.9130859375,2822.66103759966,2733.928230451742,2795.8812824575925,843659,-0.016416817103073966,-0.016553066288372054,2808.871337890625,0.02061282864829099,-0.26567402674798624,0.639042175298167
2024-04-15,2759.908447265625,2817.864526172724,2715.941766715412,2817.864526172724,850896,0.0021770336031081694,0.002174667299180081,2796.380859375,0.020925787191871076,0.1552896945321431,0.6887695287703731
2024-04-22,2697.95556640625,2815.8662170862267,2657.9858543113423,2767.902562572338,1116618,-0.02244744057389103,-0.022703219334258586,2752.913818359375,0.012285667990312398,-0.4022069987520249,0.622913889138948
2024-04-29,2720.7802734375,2788.7498026784074,2674.8008860098275,2748.767726654344,725294,0.008460001089511282,0.008424415840266453,2733.1393432617188,0.014725448906635005,0.29753572068093487,0.7055726832103981
2024-05-06,2808.740966796875,2834.7293173793373,2708.7857722489434,2748.767850068116,538232,0.032329216077505274,0.03181762401423292,2746.8463134765625,0.022510156976209082,0.8379333889294261,0.7694084593262844
2024-05-13,2828.73193359375,2908.696087193573,2710.7848070340106,2812.739102873785,666722,0.0071174120480297365,0.007092202816545796,2764.0521850585938,0.02242953708568149,0.26713958122693354,0.7019820660279408
2024-05-20,2870.71337890625,2882.708003052098,2740.771617326232,2848.7232346388623,916011,0.01484108296510267,0.0147320317283344,2807.2416381835938,0.011595204216950409,0.4420030510144532,0.7226382345572807
2024-05-27,2938.682861328125,2994.6577729724704,2842.725869937819,2870.713325759992,1900303,0.023676861271246574,0.023400911651353874,2861.71728515625,0.010909760672436243,0.6420445687687015,0.7462686206443101
2024-06-03,2848.722900390625,3004.652995990954,2848.722900390625,2966.670023985745,607592,-0.03061234069226615,-0.03109068588942631,2871.7127685546875,0.023890037747880833,-0.5870598725340529,0.6010776982031617
2024-06-10,2808.740966796875,2930.686304145351,2786.75082399633,2898.700641890013,535884,-0.014035037801769845,-0.014134460306807843,2866.7150268554688,0.02520288806804737,-0.21175067898164068,0.6454120006280732
2024-06-17,2840.7265625,2884.706847070725,2736.7731626055597,2736.7731626055597,876172,0.011387876661193674,0.011323522901370418,2859.2183227539062,0.02450454674294625,0.3638226569146872,0.7134029872058626
2024-06-24,2770.7578125,2868.713896780303,2746.76856737013,2838.7273403679656,1074965,-0.024630582514926558,-0.02493899001659686,2817.237060546875,0.01855291129161584,-0.4516332079920228,0.6170752991288766
2024-07-01,2874.711669921875,2886.7062944138997,2676.8003658034704,2788.7501943956995,768521,0.037518204208573325,0.03683151919391402,2823.7342529296875,0.027777271913825126,0.9554117847630855,0.7832858777822103
2024-07-08,2900.69970703125,2924.688953402287,2820.735552461126,2898.700603166997,838366,0.009040223887942567,0.00899960567890419,2846.7239379882812,0.025483369006183466,0.31067193180034514,0.7071244297875948
2024-07-15,2842.7255859375,2972.6673321301423,2790.7488874604437,2948.6780866791933,1008809,-0.01998625399010512,-0.020188680875181386,2847.2236938476562,0.028835827218265043,-0.34648587463163116,0.6294960811306413
2024-07-22,2898.70068359375,2908.696203192349,2768.758928811961,2830.731150323276,921400,0.01969064405412535,0.019499291151408436,2879.2094116210938,0.02409322879126612,0.5517968379427061,0.735607890077786
2024-07-29,3076.620849609375,3192.5688738311705,2880.708670751858,2914.69343647204,1231968,0.06137928176669938,0.05956927149879685,2929.6867065429688,0.03369952275761387,1.4956252220627004,0.8470998911735382
2024-08-05,3120.60107421875,3150.591536126024,2912.694276192645,3000.6548445883045,1293299,0.014294977106119156,0.01419376730840235,2984.6620483398438,0.03335890302751678,0.42963924546156973,0.7211777302479777
2024-08-12,3126.5986328125,3194.568168308424,3026.6434335537883,3138.593256723545,658803,0.001921924158553745,0.0019200796253086682,3055.6303100585938,0.025800492083853505,0.14951403123300566,0.6880872646324107
2024-08-19,3174.5771484375,3200.565500408336,3034.6398685945373,3128.5977564890977,743628,0.015345274932792252,0.01522872699583412,3124.5994262695312,0.0261496029528074,0.45341792845496043,0.7239866444478049
2024-08-26,3182.573486328125,3228.552877148192,3098.611120482785,3174.5770705333307,389851,0.0025188670858293793,0.0025157000572325777,3151.0875854492188,0.007291157641858899,0.16302878511743124,0.6896837274854495
2024-09-02,3112.604736328125,3198.566203034682,3058.6289316519146,3196.5670991577854,571751,-0.021984959750521282,-0.022230230487369742,3149.0885009765625,0.015573969935179293,-0.3917364592439446,0.6241507468367554
2024-09-09,3170.768798828125,3198.757930721942,3069.3782368756147,3196.758707015241,567844,0.018686620186993297,0.01851417032422615,3160.1310424804688,0.01845092349191806,0.52906579475855,0.7329227308536772
2024-09-16,3138.78125,3248.7385549363057,3122.787460191083,3198.7579617834394,759622,-0.010088262770829304,-0.010139494141952515,3151.1820678710938,0.017427172738918747,-0.12239591700499294,0.6559672470985423
2024-09-23,3092.799072265625,3158.773454544077,3026.824689987173,3134.7827700791854,845114,-0.014649691734451076,-0.014758058126810743,3128.7384643554688,0.017817653199514963,-0.22566640902000912,0.6437681715010942
