Date,Close,High,Low,Open,Volume,Return,Log_Return,MA_4,Volatility,Return_Zscore,Return_MinMax
2024-04-01,289.3840026855469,298.1774268479862,286.4861718021168,296.37878160856513,66824928,-0.02360071661728147,-0.023883674401824925,291.78218841552734,0.019456634715831117,-0.996000209692752,0.4428396894999639
2024-04-08,282.6889343261719,305.8716379976312,278.143347412982,289.3839479410221,157580485,-0.023135585579172613,-0.02340741403060746,290.6080551147461,0.02326912694950184,-0.9798390020096769,0.44529174107307934
2024-04-15,281.1900329589844,286.7858607307409,277.29294896439234,283.88803060629084,110627443,-0.005302299401143351,-0.005316406479344408,287.4104309082031,0.01533547817506174,-0.3602126645228327,0.5393042533415475
2024-04-22,288.6844482421875,296.1788525604936,285.0871280704387,285.0871280704387,115358426,0.026652492637590397,0.02630350234959459,285.48685455322266,0.02359099585042482,0.7500723697917147,0.7077617237475876
2024-04-29,298.0774230957031,302.03449045512576,286.8857978280941,289.3839325523116,76241655,0.03253716960061359,0.03201904481826532,287.6602096557617,0.02643214278939437,0.9545383777663714,0.7387842318629891
2024-05-06,311.4674987792969,312.94039826936256,298.0774701479942,298.0774701479942,74235843,0.04492146887385906,0.043941733189910785,294.85485076904297,0.021403108871697,1.3848369735729062,0.8040710822919792
2024-05-13,310.6680603027344,314.6650762744513,300.07596187872224,310.76799180098965,134129267,-0.002566683457168595,-0.00256998303634605,302.22435760498047,0.02013065892932051,-0.26516233721837773,0.5537257191850999
2024-05-20,314.8486022949219,315.9480797051053,307.85196668836807,311.2503264538264,140420691,0.013456619866598851,0.013366883691553162,308.76539611816406,0.020919740140223835,0.29157525190744116,0.6381964659262676
2024-05-27,310.8505554199219,315.84815277393994,305.7530000182408,314.8486333031363,93994032,-0.012698315462918885,-0.012779628160292681,311.95867919921875,0.02518047812042434,-0.6171908960502249,0.5003143530055064
2024-06-03,307.4521789550781,315.7481779200132,303.4541012846685,314.148940751267,127982539,-0.010932508903685134,-0.010992707932160856,310.95484924316406,0.011942262379801848,-0.5558370748820184,0.5096232324322398
2024-06-10,310.05096435546875,311.5502436212052,300.2556548509083,305.65305410697664,133906605,0.008452649154164327,0.008417125553950782,310.80057525634766,0.013323587158122983,0.11770981765802106,0.6118168153505152
2024-06-17,308.4516906738281,313.7491312537337,304.8534147596889,312.9495279407744,102980005,-0.00515809936268119,-0.005171448280346942,309.2013473510742,0.009581739880017783,-0.3552023629549786,0.5400644389713694
2024-06-24,305.8529663085937,311.2503654958096,305.3532065597235,308.0519214047886,151381528,-0.008425061180755367,-0.008460752618451656,307.9519500732422,0.008641942651092648,-0.4687145651275995,0.5228418539168712
2024-07-01,310.8505554199219,311.15039905999754,302.1547238227651,308.0519131028372,69274948,0.016339841890844475,0.016207783277008656,308.8015441894531,0.011613398628345687,0.3917542253848997,0.6533960731787467
2024-07-08,318.1470031738281,318.1470031738281,305.65301105259846,311.1503675859395,53311143,0.023472526031197205,0.02320128260425515,310.82555389404297,0.01574319669264919,0.6395828592225735,0.6909977551434626
2024-07-15,325.84332275390625,325.84332275390625,312.6496545393934,317.34740789682587,85154764,0.02419107991997338,0.02390311069377359,315.1734619140625,0.015295976038705016,0.6645493690371158,0.6947857870075702
2024-07-22,326.9427795410156,328.4420585387553,321.64530878058986,326.6429054397221,69493471,0.0033741884836466784,0.0033685086825785905,320.44591522216797,0.009654134480667789,-0.05874380698131489,0.5850444728150053
2024-07-29,326.54302978515625,335.03894545538554,322.6448793694256,329.8414319030208,79628275,-0.0012226902714308485,-0.0012234383670357593,324.36903381347656,0.013274810666578707,-0.2184646300783477,0.5608109066598893
2024-08-05,330.3411865234375,330.94090430908545,316.5478299681024,321.0456676060917,119672439,0.011631412683284603,0.011564287806134404,327.4175796508789,0.011148575895796677,0.2281575267130224,0.628574441639727
2024-08-12,341.0360412597656,342.1354882289612,330.7209934353013,331.54060668750094,81582505,0.03237517806629708,0.03186214563091545,331.21575927734375,0.014873687517503738,0.9489099018864702,0.7379302540287702
2024-08-19,348.9322204589844,349.7318237590711,337.53770566673984,341.23590905827933,74849624,0.023153503571208267,0.022889528079531592,336.71311950683594,0.01453829771973566,0.6284982662605357,0.6893159505318943
2024-08-26,353.530029296875,354.4295906698186,344.93415622704435,348.93223388715984,64100385,0.013176796432965432,0.013090737612877967,343.4598693847656,0.009654888290323455,0.28185264847953895,0.6367213085309986
